1,2,1365.9,6
1,3,407.4,7
1,4,861.4,8
1,5,354.4,5
1,6,545.1,6
1,7,431.5,7
1,8,1,8
1,9,56.8,5
1,10,75.3,6
1,11,1,7
1,12,37.9,8
1,13,48.5,5
1,14,1,6
1,15,185.9,7
1,16,12.1,8
1,17,81.1,5
1,18,126.6,6
1,19,67.2,7
1,20,382.4,8
1,21,101.6,2
1,22,71.7,2
1,23,25.8,2
1,24,21.1,8
1,25,665.1,5
1,26,29,6
1,27,18.9,2
1,28,75.9,4
1,29,139.1,5
1,30,119.1,6
1,31,295.6,7
1,32,85.9,8
1,33,74.3,5
1,34,96.4,6
1,35,53.6,7
1,36,37.9,8
1,37,13.7,1
1,38,107.7,1
2,1,1171.2,7
2,3,608.1,8
2,4,1271.4,5
2,5,542.3,4
2,6,808.4,7
2,7,629.1,8
2,8,1,5
2,9,74.9,3
2,10,87.3,1
2,11,1,8
2,12,48.1,5
2,13,63.9,6
2,14,1,7
2,15,566.3,8
2,16,22,5
2,17,107.5,6
2,18,213.9,7
2,19,101.1,8
2,20,511.1,2
2,21,156.8,3
2,22,105.2,2
2,23,39,2
2,24,47.6,5
2,25,942.1,6
2,26,51.8,7
2,27,27.7,4
2,28,111.9,3
2,29,194.1,4
2,30,194.8,2
2,31,329.9,8
2,32,95.1,5
2,33,79.1,3
2,34,134.9,3
2,35,81.3,8
2,36,55.1,4
2,37,19.6,3
2,38,166.9,1
3,1,721.1,8
3,2,1237.9,5
3,4,1107.9,6
3,5,386.6,7
3,6,582.8,8
3,7,457.9,5
3,8,1,6
3,9,57.1,2
3,10,62.4,3
3,11,1,2
3,12,33.4,1
3,13,37.2,3
3,14,1,8
3,15,241.6,5
3,16,15.6,6
3,17,102.6,7
3,18,159.1,8
3,19,71.1,5
3,20,385.6,6
3,21,109.6,2
3,22,78.1,1
3,23,25.1,1
3,24,32.8,6
3,25,687.5,7
3,26,27.3,4
3,27,21.4,4
3,28,82.9,1
3,29,109.6,1
3,30,132.1,8
3,31,234.5,5
3,32,69.9,6
3,33,61.1,2
3,34,101.6,8
3,35,58.7,2
3,36,43.4,3
3,37,13.6,3
3,38,116.9,4
4,1,1222.5,5
4,2,2106.7,6
4,3,938.6,7
4,5,665.9,8
4,6,988.8,5
4,7,769.8,6
4,8,1,7
4,9,91.6,2
4,10,108.6,4
4,11,1,2
4,12,47.8,3
